medal_type,medal_code,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Gold Medal,1,KIM JD,KIM Je Deok,X,KOR,ARC,Mixed Team,Republic of Korea,Archery
Gold Medal,1,AN S,AN San,X,KOR,ARC,Mixed Team,Republic of Korea,Archery
Silver Medal,2,SCHLOESSER G,SCHLOESSER Gabriela,X,NED,ARC,Mixed Team,Netherlands,Archery
Silver Medal,2,WIJLER S,WIJLER Steve,X,NED,ARC,Mixed Team,Netherlands,Archery
Bronze Medal,3,ALVAREZ L,ALVAREZ Luis,X,MEX,ARC,Mixed Team,Mexico,Archery
Bronze Medal,3,VALENCIA A,VALENCIA Alejandra,X,MEX,ARC,Mixed Team,Mexico,Archery
Gold Medal,1,CARAPAZ R,CARAPAZ Richard,M,ECU,CRD,Men's Road Race,Ecuador,Cycling Road
Silver Medal,2,van AERT W,van AERT Wout,M,BEL,CRD,Men's Road Race,Belgium,Cycling Road
Bronze Medal,3,POGACAR T,POGACAR Tadej,M,SLO,CRD,Men's Road Race,Slovenia,Cycling Road
Gold Medal,1,SZILAGYI A,SZILAGYI Aron,M,HUN,FEN,Men's Sabre Individual,Hungary,Fencing
Silver Medal,2,SAMELE L,SAMELE Luigi,M,ITA,FEN,Men's Sabre Individual,Italy,Fencing
Bronze Medal,3,KIM J,KIM Junghwan,M,KOR,FEN,Men's Sabre Individual,Republic of Korea,Fencing
Gold Medal,1,SUN Y,SUN Yiwen,W,CHN,FEN,Women's &Eacute;p&eacute;e Individual,People's Republic of China,Fencing
Silver Medal,2,POPESCU AM,POPESCU Ana Maria,W,ROU,FEN,Women's &Eacute;p&eacute;e Individual,Romania,Fencing
Bronze Medal,3,LEHIS K,LEHIS Katrina,W,EST,FEN,Women's &Eacute;p&eacute;e Individual,Estonia,Fencing
Gold Medal,1,TAKATO N,TAKATO Naohisa,M,JPN,JUD,Men -60 kg,Japan,Judo
Silver Medal,2,YANG YW,YANG Yung Wei,M,TPE,JUD,Men -60 kg,Chinese Taipei,Judo
Bronze Medal,3,MKHEIDZE L,MKHEIDZE Luka,M,FRA,JUD,Men -60 kg,France,Judo
Bronze Medal,3,SMETOV Y,SMETOV Yeldos,M,KAZ,JUD,Men -60 kg,Kazakhstan,Judo
Gold Medal,1,KRASNIQI D,KRASNIQI Distria,W,KOS,JUD,Women -48 kg,Kosovo,Judo
Silver Medal,2,TONAKI F,TONAKI Funa,W,JPN,JUD,Women -48 kg,Japan,Judo
Bronze Medal,3,BILODID D,BILODID Daria,W,UKR,JUD,Women -48 kg,Ukraine,Judo
Bronze Medal,3,MUNKHBAT U,MUNKHBAT Urantsetseg,W,MGL,JUD,Women -48 kg,Mongolia,Judo
Gold Medal,1,FOROUGHI J,FOROUGHI Javad,M,IRI,SHO,10m Air Pistol Men,Islamic Republic of Iran,Shooting
Silver Medal,2,MIKEC D,MIKEC Damir,M,SRB,SHO,10m Air Pistol Men,Serbia,Shooting
Bronze Medal,3,PANG W,PANG Wei,M,CHN,SHO,10m Air Pistol Men,People's Republic of China,Shooting
Gold Medal,1,YANG Q,YANG Qian,W,CHN,SHO,10m Air Rifle Women,People's Republic of China,Shooting
Silver Medal,2,GALASHINA A,GALASHINA Anastasiia,W,ROC,SHO,10m Air Rifle Women,ROC,Shooting
Bronze Medal,3,CHRISTEN N,CHRISTEN Nina,W,SUI,SHO,10m Air Rifle Women,Switzerland,Shooting
Gold Medal,1,DELL'AQUILA V,DELL'AQUILA Vito,M,ITA,TKW,Men -58kg,Italy,Taekwondo
Silver Medal,2,JENDOUBI MK,JENDOUBI Mohamed Khalil,M,TUN,TKW,Men -58kg,Tunisia,Taekwondo
Bronze Medal,3,ARTAMONOV M,ARTAMONOV Mikhail,M,ROC,TKW,Men -58kg,ROC,Taekwondo
Bronze Medal,3,JANG J,JANG Jun,M,KOR,TKW,Men -58kg,Republic of Korea,Taekwondo
Gold Medal,1,WONGPATTANAKIT P,WONGPATTANAKIT Panipak,W,THA,TKW,Women -49kg,Thailand,Taekwondo
Silver Medal,2,CEREZO IGLESIAS A,CEREZO IGLESIAS Adriana,W,ESP,TKW,Women -49kg,Spain,Taekwondo
Bronze Medal,3,BOGDANOVIC T,BOGDANOVIC Tijana,W,SRB,TKW,Women -49kg,Serbia,Taekwondo
Bronze Medal,3,SEMBERG A,SEMBERG Abishag,W,ISR,TKW,Women -49kg,Israel,Taekwondo
Gold Medal,1,HOU Z,HOU Zhihui,W,CHN,WLF,Women's 49kg,People's Republic of China,Weightlifting
Silver Medal,2,MIRABAI CS,MIRABAI Chanu Saikhom,W,IND,WLF,Women's 49kg,India,Weightlifting
Bronze Medal,3,AISAH WC,AISAH Windy Cantika,W,INA,WLF,Women's 49kg,Indonesia,Weightlifting
Gold Medal,1,KANG C,KANG Chaeyoung,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Gold Medal,1,AN S,AN San,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Gold Medal,1,JANG M,JANG Minhee,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Silver Medal,2,OSIPOVA E,OSIPOVA Elena,W,ROC,ARC,Women's Team,ROC,Archery
Silver Medal,2,PEROVA K,PEROVA Ksenia,W,ROC,ARC,Women's Team,ROC,Archery
Silver Medal,2,GOMBOEVA S,GOMBOEVA Svetlana,W,ROC,ARC,Women's Team,ROC,Archery
Bronze Medal,3,SCHWARZ C,SCHWARZ Charline,W,GER,ARC,Women's Team,Germany,Archery
Bronze Medal,3,UNRUH L,UNRUH Lisa,W,GER,ARC,Women's Team,Germany,Archery
Bronze Medal,3,KROPPEN M,KROPPEN Michelle,W,GER,ARC,Women's Team,Germany,Archery
